,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
585,580,4700000000,Hong Ra-hee,77.0,South Korea,Seoul,Samsung,Technology,South Korea,False,F,1945-07-15 00:00:00
586,580,4700000000,Li Gaiteng,50.0,China,Shanghai,Hair dryers,Manufacturing,China,True,M,1972-04-08 00:00:00
587,580,4700000000,Thomas Secunda,68.0,United States,Croton-on-Hudson,Bloomberg LP,Media & Entertainment,United States,True,M,1954-06-23 00:00:00
588,580,4700000000,Zuowen Song,76.0,China,Longkou,"Aluminum, diversified",Diversified,China,True,M,1947-03-19 00:00:00
589,580,4700000000,Tim Sweeney,52.0,United States,Cary,Video games,Media & Entertainment,United States,True,M,1970-12-13 00:00:00
590,591,4600000000,Bert Beveridge,61.0,United States,Austin,Vodka,Food & Beverage,United States,True,M,1962-01-01 00:00:00
591,591,4600000000,Mark Cuban,64.0,United States,Dallas,"Online media, Dallas Mavericks",Media & Entertainment,United States,True,M,1958-07-31 00:00:00
592,591,4600000000,Charles Dolan & family,96.0,United States,Oyster Bay,Cable television,Media & Entertainment,United States,True,M,1926-10-16 00:00:00
593,591,4600000000,Jack Dorsey,46.0,United States,San Francisco,"Twitter, Square",Technology,United States,True,M,1976-11-19 00:00:00
594,591,4600000000,Fan Hongwei,56.0,China,Wujiang,Petrochemicals,Energy,China,True,F,1967-01-01 00:00:00
595,591,4600000000,Vladimir Kim,62.0,Kazakhstan,Almaty,Mining,Metals & Mining,Kazakhstan,True,M,1960-10-29 00:00:00
596,591,4600000000,"Andre Koo, Sr.",55.0,Taiwan,Taipei,Financial services,Finance & Investments,Taiwan,False,M,1967-05-25 00:00:00
597,591,4600000000,Ronald Lauder,79.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,1944-02-26 00:00:00
598,591,4600000000,Li Chunan,54.0,China,Fushun,Renewable energy,Manufacturing,China,True,M,1968-10-10 00:00:00
599,591,4600000000,Forrest Li,45.0,Singapore,Singapore,Gaming,Media & Entertainment,Singapore,True,M,1978-01-01 00:00:00
600,591,4600000000,Richard Li,56.0,Hong Kong,Hong Kong,Telecom,Telecom,Hong Kong,False,M,1966-11-08 00:00:00
601,591,4600000000,Doug Meijer & family,69.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,1954-01-22 00:00:00
602,591,4600000000,Hank Meijer & family,71.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,1952-02-15 00:00:00
603,591,4600000000,Mark Meijer & family,65.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,1957-10-21 00:00:00
604,591,4600000000,Issad Rebrab & family,79.0,Algeria,Algiers,Food,Food & Beverage,Algeria,True,M,1944-01-01 00:00:00
605,591,4600000000,Fred Smith,78.0,United States,Memphis,FedEx,Logistics,United States,True,M,1944-08-11 00:00:00
606,591,4600000000,Barry Sternlicht,62.0,United States,Miami,Private equity,Finance & Investments,United States,True,M,1960-11-27 00:00:00
607,591,4600000000,Maximilian Viessmann,34.0,Germany,Battenberg,"Heating, cooling equipment",Manufacturing,Germany,False,M,1989-02-11 00:00:00
608,591,4600000000,Russ Weiner,52.0,United States,Delray Beach,Energy drinks,Food & Beverage,United States,True,M,1970-05-05 00:00:00
609,591,4600000000,Xue Min,66.0,China,Wuhan,Healthcare,Healthcare,China,True,M,1957-01-01 00:00:00
610,611,4500000000,Juan Domingo Beckmann Legorreta & family,55.0,Mexico,,Tequila,Food & Beverage,Mexico,False,M,1967-07-01 00:00:00
611,611,4500000000,Dietmar Hopp & family,82.0,Germany,Walldorf,Software,Technology,Germany,True,M,1940-04-26 00:00:00
612,611,4500000000,Jiang Bin,56.0,China,Weifang,Acoustic components,Technology,China,True,M,1966-09-16 00:00:00
613,611,4500000000,Joseph Liemandt,54.0,United States,Austin,Software,Technology,United States,True,M,1968-08-05 00:00:00
614,611,4500000000,Theo Mueller,83.0,Switzerland,Zurich,Dairy,Food & Beverage,Germany,False,M,1940-01-30 00:00:00
615,611,4500000000,N.R. Narayana Murthy,76.0,India,Bangalore,Software services,Technology,India,True,M,1946-08-20 00:00:00
616,611,4500000000,Odd Reitan & family,71.0,Norway,Trondheim,"Retail, real estate",Fashion & Retail,Norway,False,M,1951-09-11 00:00:00
617,611,4500000000,Marc Rowan,60.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1962-08-19 00:00:00
618,611,4500000000,Hussain Sajwani,70.0,United Arab Emirates,Dubai,Real estate,Real Estate,United Arab Emirates,True,M,1953-03-01 00:00:00
619,611,4500000000,David Velez & family,41.0,Brazil,Sao Paulo,Fintech,Finance & Investments,Colombia,True,M,1981-10-02 00:00:00
620,611,4500000000,Xu Jinfu,59.0,China,Guangzhou,Chemicals,Manufacturing,China,True,M,1964-01-01 00:00:00
621,611,4500000000,Samuel Yin,72.0,Taiwan,Taipei,Retail,Diversified,Taiwan,False,M,1950-08-16 00:00:00
622,611,4500000000,You Xiaoping & family,65.0,China,Wenzhou,"Chemicals, spandex",Manufacturing,China,True,M,1958-01-21 00:00:00
623,624,4400000000,Stéphane Bancel,50.0,United States,Boston,"Biotech, vaccines",Healthcare,France,True,M,1972-07-20 00:00:00
624,624,4400000000,Margot Birmingham Perot,89.0,United States,Dallas,"Computer services, real estate",Technology,United States,False,F,1933-11-15 00:00:00
625,624,4400000000,Neal Blue & family,88.0,United States,San Diego,Defense,Manufacturing,United States,True,M,1935-04-04 00:00:00
626,624,4400000000,Jim Davis,63.0,United States,Cockeysville,Staffing & recruiting,Service,United States,True,M,1960-03-13 00:00:00
627,624,4400000000,Rafael Del Pino,64.0,Spain,Madrid,Construction,Construction & Engineering,Spain,False,M,1958-07-18 00:00:00
628,624,4400000000,Peter Grogg,81.0,Switzerland,Liestal,Biochemicals,Healthcare,Switzerland,True,M,1942-01-10 00:00:00
629,624,4400000000,Christian Haub,58.0,Germany,Munich,Retail,Fashion & Retail,Germany,False,M,1964-07-22 00:00:00
630,624,4400000000,Mangal Prabhat Lodha,67.0,India,Mumbai,Real estate,Real Estate,India,True,M,1955-12-01 00:00:00
631,624,4400000000,Jeffrey Lurie & family,71.0,United States,Wynnewood,Philadelphia Eagles,Sports,United States,False,M,1951-09-08 00:00:00
632,624,4400000000,Joe Mansueto,66.0,United States,Chicago,Investment research,Finance & Investments,United States,True,M,1956-09-03 00:00:00
633,624,4400000000,Qian Dongqi & family,65.0,China,Suzhou,Home-cleaning robots,Manufacturing,China,True,M,1958-01-01 00:00:00
634,624,4400000000,Mikhail Shelkov,54.0,Russia,Moscow,Titanium,Metals & Mining,Russia,True,M,1968-05-30 00:00:00
635,636,4300000000,Patrick Drahi,59.0,Switzerland,Zermatt,Telecom,Telecom,France,True,M,1963-08-20 00:00:00
636,636,4300000000,Behdad Eghbali,46.0,United States,Los Angeles,Private equity,Finance & Investments,United States,True,M,1976-05-06 00:00:00
637,636,4300000000,Juan Carlos Escotet,63.0,Spain,A Coruña,Banking,Finance & Investments,Venezuela,True,M,1959-07-23 00:00:00
638,636,4300000000,Jose E. Feliciano,49.0,United States,Los Angeles,Private equity,Finance & Investments,United States,True,M,1973-05-29 00:00:00
639,636,4300000000,Hu Kaijun,61.0,China,Beijing,Pharmaceuticals,Healthcare,China,True,M,1962-01-01 00:00:00
640,636,4300000000,Johnelle Hunt,91.0,United States,Fayetteville,Trucking,Logistics,United States,True,F,1932-01-04 00:00:00
641,636,4300000000,Marian Ilitch,90.0,United States,Bingham Farms,Little Caesars Pizza,Food & Beverage,United States,True,F,1933-01-07 00:00:00
642,636,4300000000,Daryl Katz,61.0,Canada,Edmonton,Pharmacies,Diversified,Canada,True,M,1961-09-01 00:00:00
643,636,4300000000,Andrei Kozitsyn,62.0,Russia,Verkhniaya Pyshma,Metals,Metals & Mining,Russia,True,M,1960-06-09 00:00:00
644,636,4300000000,Timur Kulibaev,56.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,True,M,1966-09-10 00:00:00
645,636,4300000000,Dinara Kulibaeva,55.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,False,F,1967-08-19 00:00:00
646,636,4300000000,Ian Livingstone,60.0,,,Real estate,Real Estate,United Kingdom,True,M,1962-05-22 00:00:00
647,636,4300000000,Richard Livingstone,58.0,,,Real estate,Real Estate,United Kingdom,True,M,1964-11-29 00:00:00
648,636,4300000000,Gwendolyn Sontheim Meyer,61.0,United States,Rancho Santa Fe,Cargill,Food & Beverage,United States,False,F,1961-10-27 00:00:00
649,636,4300000000,Jay Paul,75.0,United States,San Francisco,Real estate,Real Estate,United States,True,M,1947-07-08 00:00:00
650,636,4300000000,Pham Nhat Vuong,54.0,Vietnam,Hanoi,Diversified,Diversified,Vietnam,True,M,1968-08-05 00:00:00
651,636,4300000000,Jon Stryker,64.0,United States,New York,Medical equipment,Healthcare,United States,False,M,1958-05-03 00:00:00
652,636,4300000000,Daniel Tsai,66.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,1956-04-25 00:00:00
653,636,4300000000,Richard Tsai,65.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,1957-06-02 00:00:00
654,636,4300000000,Frank Wang,42.0,China,Shenzhen,Drones,Technology,China,True,M,1980-10-30 00:00:00
655,636,4300000000,Wang Junshi & family,74.0,China,Ningbo,Solar inverters,Manufacturing,China,True,M,1949-01-01 00:00:00
656,636,4300000000,Wang Wenjing,58.0,China,Beijing,Business software,Technology,China,True,M,1964-12-05 00:00:00
657,636,4300000000,Herbert Wertheim,83.0,United States,Coral Gables,Investments,Finance & Investments,United States,True,M,1939-05-23 00:00:00
658,659,4200000000,Shari Arison,65.0,Israel,Tel Aviv,Carnival Cruises,Service,Israel,False,F,1957-09-09 00:00:00
659,659,4200000000,Pyotr Aven,68.0,Latvia,,"Oil, banking, telecom",Finance & Investments,Russia,True,M,1955-03-16 00:00:00
660,659,4200000000,Chan Laiwa & family,82.0,China,Beijing,Real estate,Real Estate,China,True,F,1941-01-01 00:00:00
661,659,4200000000,Chen Hua,57.0,China,Shenzhen,Real estate,Real Estate,China,True,M,1966-01-01 00:00:00
662,659,4200000000,Thomas Hagen,87.0,United States,Erie,Insurance,Finance & Investments,United States,False,M,1936-01-01 00:00:00
663,659,4200000000,"Rupert Johnson, Jr.",82.0,United States,Burlingame,Franklin Templeton,Finance & Investments,United States,False,M,1940-08-10 00:00:00
664,659,4200000000,Dewi Kam,72.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,F,1950-07-23 00:00:00
665,659,4200000000,Min Kao & family,74.0,United States,Leawood,Navigation equipment,Technology,United States,True,M,1949-01-10 00:00:00
666,659,4200000000,Marc Ladreit de Lacharriere,82.0,France,Paris,Finance,Finance & Investments,France,True,M,1940-11-06 00:00:00
667,659,4200000000,Eric Lefkofsky,53.0,United States,Glencoe,"Groupon, investments",Technology,United States,True,M,1969-09-02 00:00:00
668,659,4200000000,Lin Bin,55.0,China,Shenzhen,Smartphones,Technology,United States,True,M,1968-02-01 00:00:00
669,659,4200000000,Lin Li,59.0,China,Shenzhen,Investments,Finance & Investments,China,True,M,1963-05-01 00:00:00
670,659,4200000000,Michael Moritz,68.0,United States,San Francisco,Venture capital,Technology,United States,True,M,1954-09-12 00:00:00
671,659,4200000000,Jean (Gigi) Pritzker,60.0,United States,Los Angeles,"Hotels, investments",Service,United States,False,F,1962-07-01 00:00:00
672,659,4200000000,E. Joe Shoen,73.0,United States,Phoenix,U-Haul,Automotive,United States,False,M,1949-10-28 00:00:00
673,659,4200000000,Jeff Skoll,58.0,United States,Los Angeles,EBay,Technology,United States,True,M,1965-01-16 00:00:00
674,659,4200000000,Lynsi Snyder,40.0,United States,Glendora,In-N-Out Burger,Food & Beverage,United States,False,F,1982-05-05 00:00:00
675,659,4200000000,Djoko Susanto,73.0,Indonesia,Jakarta,Supermarkets,Fashion & Retail,Indonesia,True,M,1950-02-09 00:00:00
676,659,4200000000,Tahir & family,71.0,Indonesia,Jakarta,Diversified,Diversified,Indonesia,True,M,1952-03-26 00:00:00
677,659,4200000000,Peter Thiel,55.0,United States,Los Angeles,"Facebook, investments",Finance & Investments,United States,True,M,1967-10-11 00:00:00
678,679,4100000000,Andrej Babis,68.0,Czech Republic,Prague,Agriculture,Food & Beverage,Czech Republic,True,M,1954-09-02 00:00:00
679,679,4100000000,Danielle Bellon & family,83.0,France,Paris,Food services,Service,France,False,F,1940-02-08 00:00:00
680,679,4100000000,Hubert Burda,83.0,Germany,Munich,Publishing,Media & Entertainment,Germany,False,M,1940-02-09 00:00:00
681,679,4100000000,Nick Caporella,87.0,United States,Plantation,Beverages,Food & Beverage,United States,True,M,1936-01-15 00:00:00
682,679,4100000000,John Catsimatidis,74.0,United States,New York,"Oil, real estate",Energy,United States,True,M,1948-09-07 00:00:00
683,679,4100000000,Scott Cook,70.0,United States,Woodside,Software,Technology,United States,True,M,1952-07-26 00:00:00
684,679,4100000000,Luca Garavoglia,54.0,Italy,Milan,Spirits,Food & Beverage,Italy,False,M,1969-02-27 00:00:00
685,679,4100000000,Antti Herlin,66.0,Finland,Kirkkonummi,"Elevators, escalators",Manufacturing,Finland,False,M,1956-11-14 00:00:00
686,679,4100000000,Hong Jie,55.0,China,Putian,Paint,Manufacturing,China,True,M,1967-10-01 00:00:00
687,679,4100000000,"Jeremy Jacobs, Sr. & family",83.0,United States,East Aurora,Food service,Service,United States,False,M,1940-01-21 00:00:00
688,679,4100000000,Igor Kesaev,56.0,Russia,Moscow,"Tobacco distribution, retail",Fashion & Retail,Russia,True,M,1966-10-30 00:00:00
689,679,4100000000,Mary Alice Dorrance Malone,73.0,United States,Coatesville,Campbell Soup,Food & Beverage,United States,False,F,1950-02-03 00:00:00
690,679,4100000000,Joao Moreira Salles,61.0,Brazil,Rio de Janeiro,"Banking, minerals",Diversified,Brazil,False,M,1962-01-01 00:00:00
691,679,4100000000,Walther Moreira Salles Junior,66.0,Brazil,Rio de Janeiro,"Banking, minerals",Finance & Investments,Brazil,False,M,1956-04-12 00:00:00
692,679,4100000000,Arturo Moreno,76.0,United States,Phoenix,"Billboards, Los Angeles Angels",Sports,United States,True,M,1946-08-14 00:00:00
693,679,4100000000,Peter Spuhler,63.0,Switzerland,Weiningen,Train cars,Manufacturing,Switzerland,True,M,1959-09-01 00:00:00
694,679,4100000000,Donald Sterling,88.0,United States,Beverly Hills,Real estate,Real Estate,United States,True,M,1934-04-26 00:00:00
695,679,4100000000,Kerry Stokes,82.0,Australia,Perth,"Construction equipment, media",Diversified,Australia,True,M,1940-09-13 00:00:00
696,679,4100000000,Ken Xie,60.0,United States,Los Altos Hills,Cybersecurity,Technology,United States,True,M,1963-01-26 00:00:00
697,679,4100000000,Liangzhi Xie & family,57.0,China,Beijing,Biotech,Healthcare,China,True,M,1966-01-01 00:00:00
698,699,4000000000,Sid Bass,80.0,United States,Fort Worth,"Oil, investments",Energy,United States,False,M,1942-04-09 00:00:00
699,699,4000000000,Ben Chestnut,48.0,United States,Atlanta,Email marketing,Technology,United States,True,M,1974-06-15 00:00:00
700,699,4000000000,Elisabeth DeLuca & family,75.0,United States,,Subway,Food & Beverage,United States,False,F,1947-07-25 00:00:00
701,699,4000000000,Guangchang Guo,56.0,China,Shanghai,Conglomerate,Diversified,China,True,M,1967-02-16 00:00:00
702,699,4000000000,Vinod Rai Gupta,77.0,India,Delhi,Electrical equipment,Manufacturing,India,False,F,1945-09-15 00:00:00
703,699,4000000000,John Henry,73.0,United States,Boca Raton,Sports,Sports,United States,True,M,1949-09-13 00:00:00
704,699,4000000000,Travis Kalanick,46.0,United States,Los Angeles,Uber,Technology,United States,True,M,1976-08-06 00:00:00
705,699,4000000000,Koon Poh Keong,61.0,Malaysia,Petaling Jaya,Aluminum,Manufacturing,Malaysia,True,M,1961-04-25 00:00:00
706,699,4000000000,Dan Kurzius,51.0,United States,Atlanta,Email marketing,Technology,United States,True,M,1971-12-01 00:00:00
707,699,4000000000,Paul Lee,65.0,China,Yuxi,Battery separators,Manufacturing,United States,True,M,1958-01-01 00:00:00
708,699,4000000000,Tobi Lutke,42.0,Canada,Ottawa,E-commerce,Technology,Canada,True,M,1980-07-16 00:00:00
709,699,4000000000,Gail Miller,79.0,United States,Salt Lake City,Car dealerships,Automotive,United States,True,F,1943-10-14 00:00:00
710,699,4000000000,Rajan Mittal,63.0,India,Delhi,Telecom,Telecom,India,False,M,1960-01-05 00:00:00
711,699,4000000000,Rakesh Mittal,67.0,India,Delhi,Telecom,Telecom,India,False,M,1955-09-18 00:00:00
712,699,4000000000,Isaac Perlmutter,80.0,United States,Palm Beach,Marvel comics,Media & Entertainment,United States,True,M,1942-12-01 00:00:00
713,699,4000000000,"Bernard Saul, II.",90.0,United States,Chevy Chase,"Banking, real estate",Finance & Investments,United States,False,M,1932-04-15 00:00:00
714,699,4000000000,Shaul Shani,68.0,Italy,Milan,Telecom,Telecom,Israel,True,M,1955-01-01 00:00:00
715,699,4000000000,Steven Spielberg,76.0,United States,Pacific Palisades,Movies,Media & Entertainment,United States,True,M,1946-12-18 00:00:00
716,699,4000000000,Jerzy Starak,75.0,Poland,Konstancin,Pharmaceuticals,Healthcare,Poland,True,M,1947-12-12 00:00:00
717,699,4000000000,Torbjorn Tornqvist,69.0,Switzerland,Geneva,Oil trading,Energy,Sweden,True,M,1953-11-08 00:00:00
718,699,4000000000,Rufino Vigil Gonzalez,74.0,Mexico,Mexico City,Steel,Metals & Mining,Mexico,True,M,1948-06-01 00:00:00
719,699,4000000000,Zhang Daocai,73.0,China,Shaoxing,Valves,Diversified,China,True,M,1950-01-01 00:00:00
720,721,3900000000,Juergen Blickle,76.0,Germany,Bruchsal,Auto parts,Manufacturing,Germany,False,M,1947-01-01 00:00:00
721,721,3900000000,"Austen Cargill, II.",72.0,United States,Livingston,Cargill,Food & Beverage,United States,False,M,1951-03-09 00:00:00
722,721,3900000000,"James Cargill, II.",73.0,United States,Birchwood,Cargill,Food & Beverage,United States,False,M,1949-04-07 00:00:00
723,721,3900000000,Vanich Chaiyawan,91.0,Thailand,Bangkok,"Insurance, beverages",Finance & Investments,Thailand,True,M,1932-01-01 00:00:00
724,721,3900000000,Chen Dongsheng,65.0,China,Beijing,Insurance,Finance & Investments,China,True,M,1957-12-01 00:00:00
725,721,3900000000,Mong-Koo Chung,85.0,South Korea,Seoul,Hyundai,Automotive,South Korea,False,M,1938-03-19 00:00:00
726,721,3900000000,Kenneth Dart,67.0,Cayman Islands,George Town,Investments,Finance & Investments,Belize,False,M,1955-04-21 00:00:00
727,721,3900000000,Giuseppe De'Longhi & family,83.0,Italy,Treviso,Coffee makers,Fashion & Retail,Italy,False,M,1939-04-24 00:00:00
728,721,3900000000,Guenther Fielmann & family,83.0,Germany,Hamburg,Optometry,Healthcare,Germany,True,M,1939-09-17 00:00:00
729,721,3900000000,W. Herbert Hunt,94.0,United States,Dallas,Oil,Energy,United States,False,M,1929-03-06 00:00:00
730,721,3900000000,James Irsay,63.0,United States,Carmel,Indianapolis Colts,Sports,United States,False,M,1959-06-13 00:00:00
731,721,3900000000,Somurai Jaruphnit,,Thailand,Bangkok,Diversified,Diversified,Thailand,False,F,
732,721,3900000000,Marianne Liebmann,69.0,United States,Bozeman,Cargill,Food & Beverage,United States,False,F,1953-07-11 00:00:00
733,721,3900000000,Jorge Moll Filho & family,78.0,Brazil,Rio de Janeiro,Hospitals,Healthcare,Brazil,True,M,1945-01-01 00:00:00
734,721,3900000000,Fernando Roberto Moreira Salles,76.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,False,M,1946-05-29 00:00:00
735,721,3900000000,Pedro Moreira Salles,63.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,False,M,1959-10-20 00:00:00
736,721,3900000000,Gabe Newell,60.0,United States,Seattle,Videogames,Gambling & Casinos,United States,True,M,1962-11-03 00:00:00
737,721,3900000000,Alfred Oetker,56.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,M,1967-01-01 00:00:00
738,721,3900000000,Carl Ferdinand Oetker,50.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,M,1972-10-03 00:00:00
739,721,3900000000,Julia Oetker,44.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,F,1979-01-26 00:00:00
740,721,3900000000,Ruan Hongliang & family,62.0,China,Jiaxing,Glass,Manufacturing,China,True,M,1961-01-01 00:00:00
741,721,3900000000,Mark Stevens,63.0,United States,Steamboat Springs,Venture capital,Finance & Investments,United States,True,M,1960-02-17 00:00:00
742,721,3900000000,Tsai Hong-tu,70.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,1952-08-01 00:00:00
743,721,3900000000,Nusli Wadia,79.0,India,Mumbai,Consumer goods,Food & Beverage,India,False,M,1944-02-15 00:00:00
744,721,3900000000,Wu Yiling,73.0,China,Shijiazhuang,Pharmaceuticals,Healthcare,China,True,M,1949-10-24 00:00:00
745,721,3900000000,Yu Renrong,57.0,China,Ningbo,Semiconductors,Manufacturing,China,True,M,1966-04-01 00:00:00
746,721,3900000000,Zhu Baoguo & family,60.0,China,Shenzhen,Pharmaceuticals,Healthcare,China,True,M,1962-04-25 00:00:00
747,748,3800000000,Rahul Bhatia,63.0,India,Delhi,Aviation,Service,India,False,M,1959-06-10 00:00:00
748,748,3800000000,Francesco Gaetano Caltagirone,80.0,Italy,Rome,"Cement, diversified",Construction & Engineering,Italy,True,M,1943-03-21 00:00:00
749,748,3800000000,Barry Diller,81.0,United States,New York,Online media,Media & Entertainment,United States,True,M,1942-02-02 00:00:00
750,748,3800000000,Wesley Edens,61.0,United States,New York,Investments,Finance & Investments,United States,True,M,1961-10-31 00:00:00
751,748,3800000000,Stephen Feinberg,63.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1960-03-29 00:00:00
752,748,3800000000,Rakesh Gangwal,69.0,United States,Miami,Airline,Service,United States,True,M,1953-07-25 00:00:00
753,748,3800000000,Joseph Grendys,61.0,United States,Chicago,Poultry processing,Food & Beverage,United States,True,M,1961-12-01 00:00:00
754,748,3800000000,Martha Ingram & family,87.0,United States,Nashville,"Book distribution, transportation",Media & Entertainment,United States,False,F,1935-08-20 00:00:00
755,748,3800000000,Li Xiang,41.0,China,Beijing,Electric vehicles,Automotive,China,True,M,1981-10-01 00:00:00
756,748,3800000000,"H. Ross Perot, Jr.",64.0,United States,Dallas,Real estate,Real Estate,United States,False,M,1958-11-07 00:00:00
757,748,3800000000,Chandru Raheja,82.0,India,Mumbai,Real estate,Real Estate,India,False,M,1940-10-01 00:00:00
758,748,3800000000,Trevor Rees-Jones,71.0,United States,Dallas,Oil & gas,Energy,United States,True,M,1951-08-12 00:00:00
759,748,3800000000,Yasumitsu Shigeta,58.0,Japan,Tokyo,Mobile phone retailer,Telecom,Japan,True,M,1965-02-25 00:00:00
760,748,3800000000,Su Qingcan,54.0,China,Xiamen,Healthcare,Healthcare,China,True,M,1969-01-01 00:00:00
761,748,3800000000,Tsai Cheng-ta,73.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,1950-04-01 00:00:00
762,748,3800000000,Steven Udvar-Hazy,77.0,United States,Westlake,Aircraft leasing,Service,United States,True,M,1946-02-23 00:00:00
763,748,3800000000,Elizabeth Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,United States,True,F,1945-07-07 00:00:00
764,748,3800000000,Richard Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,United States,True,M,1945-08-27 00:00:00
765,766,3700000000,Hayes Barnard,51.0,United States,Austin,Fintech,Finance & Investments,United States,True,M,1972-02-15 00:00:00
766,766,3700000000,William Berkley,76.0,United States,Coconut Grove,Insurance,Finance & Investments,United States,True,M,1946-09-01 00:00:00
767,766,3700000000,Charles Cohen,71.0,United States,New York,Real estate,Real Estate,United States,False,M,1952-02-08 00:00:00
768,766,3700000000,Yakir Gabay,56.0,United Kingdom,London,Real estate,Real Estate,Cyprus,True,M,1966-04-13 00:00:00
769,766,3700000000,Huang Li,59.0,China,Wuhan,Imaging systems,Technology,China,True,M,1963-06-27 00:00:00
770,766,3700000000,Brad Jacobs,66.0,United States,Greenwich,Logistics,Logistics,United States,True,M,1956-07-01 00:00:00
771,766,3700000000,Ji Qi,56.0,China,Shanghai,"Hotels, motels",Real Estate,China,True,M,1966-10-01 00:00:00
772,766,3700000000,Jason Jiang,50.0,China,Shanghai,Advertising,Media & Entertainment,Singapore,True,M,1973-01-01 00:00:00
773,766,3700000000,Jim Kavanaugh,60.0,United States,St. Louis,IT provider,Technology,United States,True,M,1962-10-17 00:00:00
774,766,3700000000,Richard LeFrak & family,77.0,United States,New York,Real estate,Real Estate,United States,False,M,1945-08-29 00:00:00
775,766,3700000000,Mikhail Lomtadze,47.0,Kazakhstan,Almaty,Fintech,Finance & Investments,Georgia,True,M,1975-10-17 00:00:00
776,766,3700000000,Tom Morris,68.0,United Kingdom,Merseyside,Retail,Fashion & Retail,United Kingdom,True,M,1954-10-02 00:00:00
777,766,3700000000,Shigenobu Nagamori,78.0,Japan,Kyoto,Motors,Manufacturing,Japan,True,M,1944-08-28 00:00:00
778,766,3700000000,Daniel Och,62.0,United States,Miami Beach,Hedge funds,Finance & Investments,United States,True,M,1961-01-27 00:00:00
779,766,3700000000,Horst Paulmann & family,88.0,Chile,Santiago,Retail,Fashion & Retail,Chile,True,M,1935-01-01 00:00:00
780,766,3700000000,Anthony Pritzker,62.0,United States,Los Angeles,"Hotels, investments",Service,United States,False,M,1961-01-07 00:00:00
781,766,3700000000,John Sall,75.0,United States,Cary,Software,Technology,United States,True,M,1948-04-04 00:00:00
782,766,3700000000,Howard Schultz,69.0,United States,Seattle,Starbucks,Food & Beverage,United States,True,M,1953-07-19 00:00:00
783,766,3700000000,Richard Schulze,82.0,United States,Naples,Best Buy,Fashion & Retail,United States,True,M,1941-01-02 00:00:00
784,766,3700000000,Yitzhak Tshuva,74.0,Israel,Netanya,Real estate,Real Estate,Israel,True,M,1948-07-07 00:00:00
785,766,3700000000,Wang Yanqing & family,56.0,China,Wuxi,Electrical equipment,Manufacturing,China,True,M,1966-04-07 00:00:00
786,787,3600000000,Rajiv Bajaj,56.0,India,Pune,Diversified,Diversified,India,False,M,1966-12-21 00:00:00
787,787,3600000000,Sanjiv Bajaj,53.0,India,Pune,Diversified,Diversified,India,False,M,1969-11-02 00:00:00
788,787,3600000000,Leonid Boguslavsky,71.0,Italy,Florence,Venture capital,Finance & Investments,Canada,True,M,1951-06-17 00:00:00
789,787,3600000000,Jim Coulter,63.0,United States,San Francisco,Private equity,Finance & Investments,United States,True,M,1959-12-01 00:00:00
790,787,3600000000,Nicolas D'Ieteren,47.0,Switzerland,Anzere,"Auto parts, distribution",Automotive,Belgium,False,M,1975-04-13 00:00:00
791,787,3600000000,Beatriz Davila de Santo Domingo,84.0,Bermuda,,Beer,Food & Beverage,Colombia,False,F,1939-03-07 00:00:00
792,787,3600000000,Bob Gaglardi,82.0,Canada,Vancouver,Hotels,Real Estate,Canada,True,M,1941-02-19 00:00:00
793,787,3600000000,Jaime Gilinski Bacal,65.0,United Kingdom,London,Banking,Finance & Investments,Colombia,False,M,1957-12-14 00:00:00
794,787,3600000000,Pansy Ho,60.0,Hong Kong,Hong Kong,Casinos,Gambling & Casinos,Hong Kong,False,F,1962-08-26 00:00:00
795,787,3600000000,Alan Howard,59.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,M,1963-09-01 00:00:00
796,787,3600000000,Huang Yi,61.0,China,Beijing,Car dealerships,Automotive,Hong Kong,True,M,1962-01-01 00:00:00
797,787,3600000000,Peter Kellogg,80.0,United States,Short Hills,Investments,Finance & Investments,United States,False,M,1942-09-01 00:00:00
