,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate,hdi_rank_2021,hdi,life_expectancy,expected_years_schooling,mean_years_schooling,gni_per_capita,hdi_tier,gdp_2022,tax_rev_2021,edu_primary_2022,edu_tertiary_2022
534,534,5000000000,Alexander Gerko,43.0,United Kingdom,London,Trading,Finance & Investments,United Kingdom,True,M,1979-12-03 00:00:00,18.0,0.929,80.7,17.3,13.4,45225.0,Very high,3070667732359.21,26.3806653552082,102.179847717285,77.0131607055664
535,534,5000000000,Martin Haefner,69.0,Switzerland,Zurich,"Software, investments",Technology,Switzerland,False,M,1954-01-01 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
536,534,5000000000,"Robert Hale, Jr.",56.0,United States,Boston,Telecom,Telecom,United States,True,M,1966-07-08 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
537,534,5000000000,Viktor Kharitonin,50.0,Russian Federation,Moscow,Pharmaceuticals,Healthcare,Russia,True,M,1972-11-20 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
538,534,5000000000,Kim Beom-su,57.0,Korea (Republic of),Seoul,Online services,Technology,South Korea,True,M,1966-03-27 00:00:00,19.0,0.925,83.7,16.5,12.5,44501.0,Very high,1665245538594.96,16.803723607088,98.67578125,100.317680358887
539,534,5000000000,Jane Lauder,50.0,United States,New York,Estée Lauder,Fashion & Retail,United States,False,F,1973-01-01 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
540,534,5000000000,Michel Leclercq & family,83.0,France,Lille,Sporting goods,Fashion & Retail,France,False,M,1939-05-27 00:00:00,28.0,0.903,82.5,15.8,11.6,45937.0,Very high,2782905325624.52,23.9683390180217,102.744186401367,68.974853515625
541,534,5000000000,George Lucas,78.0,United States,San Anselmo,Star Wars,Media & Entertainment,United States,True,M,1944-05-14 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
542,534,5000000000,Janice McNair,86.0,United States,Houston,"Energy, sports",Sports,United States,False,F,1936-09-30 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
543,534,5000000000,Ugur Sahin,57.0,Germany,Mainz,Biotechnology,Healthcare,Germany,True,M,1965-09-19 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
544,534,5000000000,Alexandra Schoerghuber & family,64.0,Germany,Munich,Real estate,Real Estate,Germany,False,F,1958-07-24 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
545,534,5000000000,Thomas Straumann,59.0,Switzerland,Basel,Dental implants,Healthcare,Switzerland,False,M,1963-07-22 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
546,534,5000000000,Murat Ulker,64.0,Türkiye,Istanbul,Food,Food & Beverage,Turkey,False,M,1959-03-23 00:00:00,48.0,0.838,76.0,18.3,8.6,31033.0,Very high,905987824096.127,17.8817572111649,102.596397399902,125.763786315918
547,534,5000000000,Chip Wilson,66.0,Canada,Vancouver,Lululemon,Fashion & Retail,Canada,True,M,1957-01-01 00:00:00,15.0,0.936,82.7,16.4,13.8,46808.0,Very high,2139840023673.81,13.2594283273391,96.2922668457031,77.8016510009766
548,534,5000000000,Zhu Yan & family,,China,Beijing,Real estate,Real Estate,China,False,F,,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
549,552,4900000000,Jim Davis & family,79.0,United States,Newton,New Balance,Manufacturing,United States,True,M,1943-05-17 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
550,552,4900000000,Murali Divi & family,72.0,India,Hyderabad,Pharmaceuticals,Healthcare,India,True,M,1951-03-17 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
551,552,4900000000,Dagmar Dolby & family,81.0,United States,San Francisco,Dolby Laboratories,Technology,United States,False,F,1941-06-28 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
552,552,4900000000,Marcos Galperin,,Argentina,Buenos Aires,E-commerce,Technology,Argentina,True,M,,47.0,0.842,75.4,17.9,11.1,20925.0,Very high,632770284408.51,11.4844172195763,110.156112670898,107.130661010742
553,552,4900000000,Tom Golisano,81.0,United States,Naples,Payroll services,Service,United States,True,M,1941-11-14 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
554,552,4900000000,Jonathan Gray,53.0,United States,New York,Investments,Finance & Investments,United States,True,M,1970-02-04 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
555,552,4900000000,Bidzina Ivanishvili,67.0,Georgia,Tbilisi,Investments,Finance & Investments,Georgia,True,M,1956-02-18 00:00:00,63.0,0.802,71.7,15.6,12.8,14664.0,Very high,24605375420.0672,21.7307962225433,104.548118591309,78.9377136230469
556,552,4900000000,Lim Hariyanto Wijaya Sarwono,94.0,Indonesia,Jakarta,"Palm oil, nickel mining",Metals & Mining,Indonesia,True,M,1928-11-01 00:00:00,114.0,0.705,67.6,13.7,8.6,11466.0,High,1319100220389.02,9.09404244081396,100.644996643066,42.633171081543
557,552,4900000000,Rudolf Maag,77.0,Switzerland,Binningen,Medical devices,Healthcare,Switzerland,True,M,1946-01-31 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
558,552,4900000000,Emanuele (Lino) Saputo & family,86.0,Canada,Montreal,Cheese,Food & Beverage,Canada,False,M,1937-01-01 00:00:00,15.0,0.936,82.7,16.4,13.8,46808.0,Very high,2139840023673.81,13.2594283273391,96.2922668457031,77.8016510009766
559,552,4900000000,Mark Shoen,72.0,United States,Phoenix,U-Haul,Automotive,United States,False,M,1950-11-20 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
560,552,4900000000,Dan Snyder,58.0,United States,Potomac,Washington Commanders,Sports,United States,True,M,1964-11-23 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
561,552,4900000000,Chairul Tanjung,60.0,Indonesia,Jakarta,Diversified,Diversified,Indonesia,True,M,1962-06-18 00:00:00,114.0,0.705,67.6,13.7,8.6,11466.0,High,1319100220389.02,9.09404244081396,100.644996643066,42.633171081543
562,552,4900000000,Kelcy Warren,67.0,United States,Dallas,Pipelines,Energy,United States,True,M,1955-11-09 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
563,552,4900000000,Zhang Tao,50.0,China,Beijing,E-commerce,Fashion & Retail,China,True,M,1972-11-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
564,567,4800000000,Michael Ashley,58.0,United Kingdom,Hertfordshire,Sports retailing,Fashion & Retail,United Kingdom,True,M,1964-09-12 00:00:00,18.0,0.929,80.7,17.3,13.4,45225.0,Very high,3070667732359.21,26.3806653552082,102.179847717285,77.0131607055664
565,567,4800000000,Tomasz Biernacki,50.0,Poland,"Krotoszyn,",Supermarkets,Fashion & Retail,Poland,True,M,1973-01-01 00:00:00,34.0,0.876,76.5,16.0,13.2,33034.0,Very high,688176605954.787,19.2052586407962,95.7681884765625,70.9335021972656
566,567,4800000000,Bernard Broermann,79.0,Germany,Koenigstein,Hospitals,Healthcare,Germany,True,M,1943-11-22 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
567,567,4800000000,Jimmy Haslam,69.0,United States,Knoxville,"Gas stations, retail",Fashion & Retail,United States,False,M,1954-03-09 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
568,567,4800000000,H. Fisk Johnson,64.0,United States,Racine,Cleaning products,Manufacturing,United States,False,M,1958-05-19 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
569,567,4800000000,S. Curtis Johnson,67.0,United States,Racine,Cleaning products,Manufacturing,United States,False,M,1955-05-05 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
570,567,4800000000,Helen Johnson-Leipold,66.0,United States,Racine,Cleaning products,Manufacturing,United States,False,F,1956-12-30 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
571,567,4800000000,Vinod Khosla,68.0,United States,Portola Valley,Venture capital,Technology,United States,True,M,1955-01-28 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
572,567,4800000000,Thai Lee,64.0,United States,Austin,IT provider,Technology,United States,True,F,1958-11-27 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
573,567,4800000000,Winifred J. Marquart,63.0,United States,Virginia Beach,Cleaning products,Manufacturing,United States,False,F,1959-04-06 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
574,567,4800000000,Pankaj Patel,70.0,India,Ahmedabad,Pharmaceuticals,Healthcare,India,False,M,1953-03-19 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
575,567,4800000000,Horst Julius Pudwill,78.0,"Hong Kong, China (SAR)",Hong Kong,Manufacturing,Manufacturing,Germany,True,M,1944-10-23 00:00:00,4.0,0.952,85.5,17.3,12.2,62607.0,Very high,359838598806.091,,103.451057434082,104.223243713379
576,567,4800000000,Yu Yong,62.0,China,Shanghai,Mining,Finance & Investments,China,True,M,1961-02-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
577,580,4700000000,Maria Fernanda Amorim & family,88.0,Portugal,Grijo,"Energy, investments",Diversified,Portugal,False,F,1935-01-16 00:00:00,38.0,0.866,81.0,16.9,9.6,33155.0,Very high,251945377529.388,22.1405227727136,104.925727844238,71.8742980957031
578,580,4700000000,Gayle Benson,76.0,United States,New Orleans,New Orleans Saints,Sports,United States,False,F,1947-01-26 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
579,580,4700000000,Jason Chang,78.0,Taiwan,Taipei,Electronics,Technology,Singapore,True,M,1944-05-01 00:00:00,,,,,,,,,,,
580,580,4700000000,Ali Erdemoglu,63.0,Türkiye,Istanbul,Carpet,Manufacturing,Turkey,True,M,1959-11-20 00:00:00,48.0,0.838,76.0,18.3,8.6,31033.0,Very high,905987824096.127,17.8817572111649,102.596397399902,125.763786315918
581,580,4700000000,Andre Esteves,54.0,Brazil,Sao paulo,Banking,Finance & Investments,Brazil,True,M,1968-07-12 00:00:00,87.0,0.754,72.8,15.6,8.1,14370.0,High,1920095560995.06,14.316847461319,103.4716796875,56.8306198120117
582,580,4700000000,Carlo Fidani,68.0,Canada,Toronto,Real estate,Real Estate,Canada,False,M,1955-01-01 00:00:00,15.0,0.936,82.7,16.4,13.8,46808.0,Very high,2139840023673.81,13.2594283273391,96.2922668457031,77.8016510009766
583,580,4700000000,Hong Ra-hee,77.0,Korea (Republic of),Seoul,Samsung,Technology,South Korea,False,F,1945-07-15 00:00:00,19.0,0.925,83.7,16.5,12.5,44501.0,Very high,1665245538594.96,16.803723607088,98.67578125,100.317680358887
584,580,4700000000,Li Gaiteng,50.0,China,Shanghai,Hair dryers,Manufacturing,China,True,M,1972-04-08 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
585,580,4700000000,Thomas Secunda,68.0,United States,Croton-on-Hudson,Bloomberg LP,Media & Entertainment,United States,True,M,1954-06-23 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
586,580,4700000000,Zuowen Song,76.0,China,Longkou,"Aluminum, diversified",Diversified,China,True,M,1947-03-19 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
587,580,4700000000,Tim Sweeney,52.0,United States,Cary,Video games,Media & Entertainment,United States,True,M,1970-12-13 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
588,591,4600000000,Bert Beveridge,61.0,United States,Austin,Vodka,Food & Beverage,United States,True,M,1962-01-01 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
589,591,4600000000,Mark Cuban,64.0,United States,Dallas,"Online media, Dallas Mavericks",Media & Entertainment,United States,True,M,1958-07-31 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
590,591,4600000000,Charles Dolan & family,96.0,United States,Oyster Bay,Cable television,Media & Entertainment,United States,True,M,1926-10-16 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
591,591,4600000000,Jack Dorsey,46.0,United States,San Francisco,"Twitter, Square",Technology,United States,True,M,1976-11-19 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
592,591,4600000000,Fan Hongwei,56.0,China,Wujiang,Petrochemicals,Energy,China,True,F,1967-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
593,591,4600000000,Vladimir Kim,62.0,Kazakhstan,Almaty,Mining,Metals & Mining,Kazakhstan,True,M,1960-10-29 00:00:00,56.0,0.811,69.4,15.8,12.3,23943.0,Very high,220623001966.686,9.44711136309549,100.911262512207,64.8498611450195
594,591,4600000000,"Andre Koo, Sr.",55.0,Taiwan,Taipei,Financial services,Finance & Investments,Taiwan,False,M,1967-05-25 00:00:00,,,,,,,,,,,
595,591,4600000000,Ronald Lauder,79.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,1944-02-26 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
596,591,4600000000,Li Chunan,54.0,China,Fushun,Renewable energy,Manufacturing,China,True,M,1968-10-10 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
597,591,4600000000,Forrest Li,45.0,Singapore,Singapore,Gaming,Media & Entertainment,Singapore,True,M,1978-01-01 00:00:00,12.0,0.939,82.8,16.5,11.9,90919.0,Very high,466788539651.836,13.1247408118083,99.8746490478516,97.0989074707031
598,591,4600000000,Richard Li,56.0,"Hong Kong, China (SAR)",Hong Kong,Telecom,Telecom,Hong Kong,False,M,1966-11-08 00:00:00,4.0,0.952,85.5,17.3,12.2,62607.0,Very high,359838598806.091,,103.451057434082,104.223243713379
599,591,4600000000,Doug Meijer & family,69.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,1954-01-22 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
600,591,4600000000,Hank Meijer & family,71.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,1952-02-15 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
601,591,4600000000,Mark Meijer & family,65.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,1957-10-21 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
602,591,4600000000,Issad Rebrab & family,79.0,Algeria,Algiers,Food,Food & Beverage,Algeria,True,M,1944-01-01 00:00:00,91.0,0.745,76.4,14.6,8.1,10800.0,High,191912889420.911,,108.343933105469,53.4012489318848
603,591,4600000000,Fred Smith,78.0,United States,Memphis,FedEx,Logistics,United States,True,M,1944-08-11 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
604,591,4600000000,Barry Sternlicht,62.0,United States,Miami,Private equity,Finance & Investments,United States,True,M,1960-11-27 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
605,591,4600000000,Maximilian Viessmann,34.0,Germany,Battenberg,"Heating, cooling equipment",Manufacturing,Germany,False,M,1989-02-11 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
606,591,4600000000,Russ Weiner,52.0,United States,Delray Beach,Energy drinks,Food & Beverage,United States,True,M,1970-05-05 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
607,591,4600000000,Xue Min,66.0,China,Wuhan,Healthcare,Healthcare,China,True,M,1957-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
608,611,4500000000,Juan Domingo Beckmann Legorreta & family,55.0,Mexico,,Tequila,Food & Beverage,Mexico,False,M,1967-07-01 00:00:00,86.0,0.758,70.2,14.9,9.2,17896.0,High,1414187193992.25,13.8720298113292,103.358810424805,45.6506195068359
609,611,4500000000,Dietmar Hopp & family,82.0,Germany,Walldorf,Software,Technology,Germany,True,M,1940-04-26 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
610,611,4500000000,Jiang Bin,56.0,China,Weifang,Acoustic components,Technology,China,True,M,1966-09-16 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
611,611,4500000000,Joseph Liemandt,54.0,United States,Austin,Software,Technology,United States,True,M,1968-08-05 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
612,611,4500000000,Theo Mueller,83.0,Switzerland,Zurich,Dairy,Food & Beverage,Germany,False,M,1940-01-30 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
613,611,4500000000,N.R. Narayana Murthy,76.0,India,Bangalore,Software services,Technology,India,True,M,1946-08-20 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
614,611,4500000000,Odd Reitan & family,71.0,Norway,Trondheim,"Retail, real estate",Fashion & Retail,Norway,False,M,1951-09-11 00:00:00,2.0,0.961,83.2,18.2,13.0,64660.0,Very high,579267365866.343,25.7468859963624,98.9731903076172,93.9243011474609
615,611,4500000000,Marc Rowan,60.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1962-08-19 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
616,611,4500000000,Hussain Sajwani,70.0,United Arab Emirates,Dubai,Real estate,Real Estate,United Arab Emirates,True,M,1953-03-01 00:00:00,26.0,0.911,78.7,15.7,12.7,62574.0,Very high,507534921715.453,0.535446408543777,115.833160400391,52.7062187194824
617,611,4500000000,David Velez & family,41.0,Brazil,Sao Paulo,Fintech,Finance & Investments,Colombia,True,M,1981-10-02 00:00:00,87.0,0.754,72.8,15.6,8.1,14370.0,High,1920095560995.06,14.316847461319,103.4716796875,56.8306198120117
618,611,4500000000,Xu Jinfu,59.0,China,Guangzhou,Chemicals,Manufacturing,China,True,M,1964-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
619,611,4500000000,Samuel Yin,72.0,Taiwan,Taipei,Retail,Diversified,Taiwan,False,M,1950-08-16 00:00:00,,,,,,,,,,,
620,611,4500000000,You Xiaoping & family,65.0,China,Wenzhou,"Chemicals, spandex",Manufacturing,China,True,M,1958-01-21 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
621,624,4400000000,Stéphane Bancel,50.0,United States,Boston,"Biotech, vaccines",Healthcare,France,True,M,1972-07-20 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
622,624,4400000000,Margot Birmingham Perot,89.0,United States,Dallas,"Computer services, real estate",Technology,United States,False,F,1933-11-15 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
623,624,4400000000,Neal Blue & family,88.0,United States,San Diego,Defense,Manufacturing,United States,True,M,1935-04-04 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
624,624,4400000000,Jim Davis,63.0,United States,Cockeysville,Staffing & recruiting,Service,United States,True,M,1960-03-13 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
625,624,4400000000,Rafael Del Pino,64.0,Spain,Madrid,Construction,Construction & Engineering,Spain,False,M,1958-07-18 00:00:00,27.0,0.905,83.0,17.9,10.6,38354.0,Very high,1397509272054.48,15.2250253140013,102.899139404297,94.5903778076172
626,624,4400000000,Peter Grogg,81.0,Switzerland,Liestal,Biochemicals,Healthcare,Switzerland,True,M,1942-01-10 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
627,624,4400000000,Christian Haub,58.0,Germany,Munich,Retail,Fashion & Retail,Germany,False,M,1964-07-22 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
628,624,4400000000,Mangal Prabhat Lodha,67.0,India,Mumbai,Real estate,Real Estate,India,True,M,1955-12-01 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
629,624,4400000000,Jeffrey Lurie & family,71.0,United States,Wynnewood,Philadelphia Eagles,Sports,United States,False,M,1951-09-08 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
630,624,4400000000,Joe Mansueto,66.0,United States,Chicago,Investment research,Finance & Investments,United States,True,M,1956-09-03 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
631,624,4400000000,Qian Dongqi & family,65.0,China,Suzhou,Home-cleaning robots,Manufacturing,China,True,M,1958-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
632,624,4400000000,Mikhail Shelkov,54.0,Russian Federation,Moscow,Titanium,Metals & Mining,Russia,True,M,1968-05-30 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
633,636,4300000000,Patrick Drahi,59.0,Switzerland,Zermatt,Telecom,Telecom,France,True,M,1963-08-20 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
634,636,4300000000,Behdad Eghbali,46.0,United States,Los Angeles,Private equity,Finance & Investments,United States,True,M,1976-05-06 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
635,636,4300000000,Juan Carlos Escotet,63.0,Spain,A Coruña,Banking,Finance & Investments,Venezuela,True,M,1959-07-23 00:00:00,27.0,0.905,83.0,17.9,10.6,38354.0,Very high,1397509272054.48,15.2250253140013,102.899139404297,94.5903778076172
636,636,4300000000,Jose E. Feliciano,49.0,United States,Los Angeles,Private equity,Finance & Investments,United States,True,M,1973-05-29 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
637,636,4300000000,Hu Kaijun,61.0,China,Beijing,Pharmaceuticals,Healthcare,China,True,M,1962-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
638,636,4300000000,Johnelle Hunt,91.0,United States,Fayetteville,Trucking,Logistics,United States,True,F,1932-01-04 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
639,636,4300000000,Marian Ilitch,90.0,United States,Bingham Farms,Little Caesars Pizza,Food & Beverage,United States,True,F,1933-01-07 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
640,636,4300000000,Daryl Katz,61.0,Canada,Edmonton,Pharmacies,Diversified,Canada,True,M,1961-09-01 00:00:00,15.0,0.936,82.7,16.4,13.8,46808.0,Very high,2139840023673.81,13.2594283273391,96.2922668457031,77.8016510009766
641,636,4300000000,Andrei Kozitsyn,62.0,Russian Federation,Verkhniaya Pyshma,Metals,Metals & Mining,Russia,True,M,1960-06-09 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
642,636,4300000000,Timur Kulibaev,56.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,True,M,1966-09-10 00:00:00,56.0,0.811,69.4,15.8,12.3,23943.0,Very high,220623001966.686,9.44711136309549,100.911262512207,64.8498611450195
643,636,4300000000,Dinara Kulibaeva,55.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,False,F,1967-08-19 00:00:00,56.0,0.811,69.4,15.8,12.3,23943.0,Very high,220623001966.686,9.44711136309549,100.911262512207,64.8498611450195
644,636,4300000000,Gwendolyn Sontheim Meyer,61.0,United States,Rancho Santa Fe,Cargill,Food & Beverage,United States,False,F,1961-10-27 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
